,precision,recall,f1-score,support
call,0.9814814814814815,0.9111747851002865,0.9450222882615156,349.0
dislike,0.9014492753623189,0.9539877300613497,0.9269746646795827,326.0
fist,0.9709302325581395,0.9766081871345029,0.9737609329446064,342.0
holy,0.9939577039274925,0.996969696969697,0.9954614220877458,330.0
like,0.918918918918919,0.9244712990936556,0.9216867469879518,331.0
middle_finger,0.9705014749262537,0.9648093841642229,0.9676470588235294,341.0
no_gesture,0.9055374592833876,0.8825396825396825,0.8938906752411575,315.0
ok,0.9886039886039886,0.980225988700565,0.9843971631205674,354.0
one,0.9473684210526315,0.9501466275659824,0.9487554904831625,341.0
peace,0.9619047619047619,0.8833819241982507,0.9209726443768997,343.0
point,0.8325,0.943342776203966,0.8844621513944223,353.0
rock,0.9877675840978594,0.9584569732937686,0.9728915662650602,337.0
stop,0.9829059829059829,0.9801136363636364,0.9815078236130867,352.0
take_picture,0.9972375690607734,0.978319783197832,0.987688098495212,369.0
two_up,0.9153005464480874,0.9463276836158192,0.9305555555555556,354.0
accuracy,0.9491921354876387,0.9491921354876387,0.9491921354876387,0.9491921354876387
macro avg,0.9504243600354718,0.9487250772135479,0.9490449521553369,5137.0
weighted avg,0.9508473939167641,0.9491921354876387,0.9494834167559086,5137.0
