method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.2198674159881193,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,1e-05,133,25.593984962406015,40,73329,551.3458646616541
grid,1,0.2230270000000018,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0001,133,25.593984962406015,40,73329,551.3458646616541
grid,1,0.2129686670086812,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0,133,25.67669172932331,40,78093,587.1654135338346
grid,1,0.2209878330031642,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0001,133,19.954887218045112,20,68505,515.0751879699249
grid,1,0.2196703750087181,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,1e-05,133,19.954887218045112,20,68509,515.1052631578947
grid,1,0.216260749992216,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0,133,19.954887218045112,20,73041,549.1804511278195
grid,1,0.0941564160020789,0.9269234522554732,0.9278752436647172,50,,1,2,sqrt,1e-05,50,25.32,32,27020,540.4
grid,1,0.0936947919981321,0.9269234522554732,0.9278752436647172,50,,1,2,sqrt,0.0001,50,25.32,32,27020,540.4
grid,1,0.0955432499904418,0.9269234522554732,0.9278752436647172,50,,1,2,sqrt,0.0,50,25.38,32,28772,575.44
grid,1,0.0960224580048816,0.9253500059848676,0.925925925925926,50,12.0,1,2,sqrt,0.0001,50,12.0,12,15928,318.56
grid,1,0.0948762920015724,0.9253500059848676,0.925925925925926,50,12.0,1,2,sqrt,1e-05,50,12.0,12,15940,318.8
grid,1,0.0925611249986104,0.9253500059848676,0.925925925925926,50,12.0,1,2,sqrt,0.0,50,12.0,12,16788,335.76
grid,1,0.2169764999998733,0.9250629011163176,0.925925925925926,133,,1,5,sqrt,0.0001,133,24.030075187969924,37,54815,412.1428571428572
grid,1,0.2245940409920876,0.9250629011163176,0.925925925925926,133,,1,5,sqrt,1e-05,133,24.05263157894737,37,54913,412.8796992481203
grid,1,0.2154289999889442,0.9250629011163176,0.925925925925926,133,,1,5,sqrt,0.0,133,24.06015037593985,37,57101,429.3308270676692
grid,1,0.3452178750012535,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0001,217,16.0,16,96471,444.5668202764977
grid,1,0.3611537920078262,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,1e-05,217,16.0,16,96537,444.8709677419355
grid,1,0.3394267499970738,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0,217,16.0,16,102441,472.0783410138249
grid,1,0.083195708997664,0.9211839163466892,0.9220272904483432,50,20.0,1,2,log2,0.0001,50,19.94,20,30258,605.16
grid,1,0.081185999995796,0.9211839163466892,0.9220272904483432,50,20.0,1,2,log2,1e-05,50,19.94,20,30268,605.36
grid,1,0.0839418749965261,0.9211839163466892,0.9220272904483432,50,20.0,1,2,log2,0.0,50,19.94,20,32094,641.88
grid,1,0.2142370420042425,0.9210759332410692,0.9220272904483432,133,16.0,1,5,sqrt,0.0001,133,16.0,16,46583,350.2481203007519
grid,1,0.2129112090042326,0.9210759332410692,0.9220272904483432,133,16.0,1,5,sqrt,1e-05,133,16.0,16,46665,350.8646616541353
grid,1,0.2023588750016642,0.9210759332410692,0.9220272904483432,133,16.0,1,5,sqrt,0.0,133,16.0,16,48545,365.0
grid,1,0.096571166999638,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,0.0001,50,16.0,16,22036,440.72
