method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.21986741598811932,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,1e-05,133,25.593984962406015,40,73329,551.3458646616541
grid,1,0.22302700000000186,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0001,133,25.593984962406015,40,73329,551.3458646616541
grid,1,0.21296866700868122,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0,133,25.67669172932331,40,78093,587.1654135338346
grid,1,0.22098783300316427,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0001,133,19.954887218045112,20,68505,515.0751879699249
grid,1,0.2196703750087181,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,1e-05,133,19.954887218045112,20,68509,515.1052631578947
grid,1,0.216260749992216,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0,133,19.954887218045112,20,73041,549.1804511278195
grid,1,0.09415641600207891,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,1e-05,50,25.32,32,27020,540.4
grid,1,0.09369479199813213,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,0.0001,50,25.32,32,27020,540.4
grid,1,0.09554324999044184,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,0.0,50,25.38,32,28772,575.44
grid,1,0.09602245800488163,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,0.0001,50,12.0,12,15928,318.56
grid,1,0.09487629200157244,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,1e-05,50,12.0,12,15940,318.8
grid,1,0.09256112499861047,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,0.0,50,12.0,12,16788,335.76
grid,1,0.21697649999987334,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,0.0001,133,24.030075187969924,37,54815,412.14285714285717
grid,1,0.22459404099208768,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,1e-05,133,24.05263157894737,37,54913,412.8796992481203
grid,1,0.21542899998894427,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,0.0,133,24.06015037593985,37,57101,429.3308270676692
grid,1,0.34521787500125356,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0001,217,16.0,16,96471,444.5668202764977
grid,1,0.36115379200782627,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,1e-05,217,16.0,16,96537,444.8709677419355
grid,1,0.3394267499970738,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0,217,16.0,16,102441,472.0783410138249
grid,1,0.08319570899766404,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,0.0001,50,19.94,20,30258,605.16
grid,1,0.08118599999579601,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,1e-05,50,19.94,20,30268,605.36
grid,1,0.08394187499652617,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,0.0,50,19.94,20,32094,641.88
grid,1,0.21423704200424254,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,0.0001,133,16.0,16,46583,350.2481203007519
grid,1,0.21291120900423266,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,1e-05,133,16.0,16,46665,350.8646616541353
grid,1,0.20235887500166427,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,0.0,133,16.0,16,48545,365.0
grid,1,0.09657116699963808,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,0.0001,50,16.0,16,22036,440.72
grid,1,0.09482929100340698,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,1e-05,50,16.0,16,22046,440.92
grid,1,0.0908901669899933,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,0.0,50,16.0,16,23428,468.56
